id,sample_id,name,application_label,is_system_app,version_name
299706760,7457870,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299706788,7457870,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299706800,7457871,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299706828,7457871,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299706840,7457872,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299706868,7457872,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299706880,7457873,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299706908,7457873,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299706920,7457874,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299706948,7457874,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299706960,7457875,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299706989,7457875,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299707002,7457876,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299707031,7457876,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299707044,7457877,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299707071,7457877,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299707120,7457879,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299707147,7457879,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299707160,7457880,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299707187,7457880,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299707200,7457881,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299707227,7457881,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299707240,7457882,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299707267,7457882,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299707280,7457883,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299707307,7457883,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299707320,7457884,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299707349,7457884,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299707361,7457885,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299707390,7457885,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299707402,7457886,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299707429,7457886,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299707441,7457887,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299707468,7457887,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299707480,7457888,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299707507,7457888,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299707521,7457889,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299707548,7457889,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299707561,7457890,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299707590,7457890,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299707604,7457891,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299707633,7457891,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299707647,7457892,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299707677,7457892,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299707689,7457893,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299707720,7457893,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299707732,7457894,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299707760,7457894,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
